Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
50,"Bac Lieu LNG Nha may nhiet dien khi LNG Bac Lieu - built in 3 stages",Gas,Planned,3200,2027,"USA; Vietnam","Delta Offshore Energy"," Vien Nang Luong Ministry of Commerce and Trade",,,," ",Vietnam,"Bac Lieu",,
51,"Bac Lieu Wind 1-2 Nha may Đien gio Bac Lieu giai doan 1 va 2",Wind,Operational,142,2018,Vietnam,"Cong Ly Ltd Co Cong ty trach nhiem huu han Xay dung - Thuong mai va Du lich Cong Ly",,,," ",Vietnam,"Soc Trang","Vinh Chau",,
52,"Bac Lieu Wind 3 Nha may Đien gio Bac Lieu giai doan 3",Wind,Planned,133,2018,Vietnam,"Cong Ly Ltd Co Cong ty trach nhiem huu han Xay dung - Thuong mai va Du lich Cong Ly",,,," ",Vietnam,"Bac Lieu","Bac Lieu",,
53,"Bac Me",Hydro,Operational,45,2018,Vietnam,Vietracimex,Japan,"Sumitomo Mitsui Banking Corporation Japan; The Gunma Bank Ltd. Japan; The Chugoku Bank.; Ltd. Japan; and The Bank of Yokohama; Ltd.. Japan",," ",Vietnam,"Ha Giang","Bac Me",,
54,"Baluchaung Upper",Hydro,"Under Construction",30.4,,Myanmar,"Neo Energy Oasis Development Co"," Ltd. Myanmar",,,Japan,"Nippon Koei Co"," Ltd  Project Participant Japan",Myanmar,,
55,Baluchaung-1,Hydro,Operational,28,1992,Myanmar,MEPE,Japan,"Japanese assistance Japan",Japan,"Nippon Koei co"," Ltd",Myanmar,Kayah,,
56,Baluchaung-2,Hydro,Operational,168,1954,Myanmar,"MEPE Myanmar",Japan,"Japanese assistance Japan",," ",Myanmar,Kayah,Loikaw,,
57,Baluchaung-3,Hydro,Operational,52,2015,Myanmar,"Future Energy Myanmar",Japan,"Japanese assistance Japan",," ",Myanmar,Kayah,Loikaw,,
58,"Bamnet Narong - BSE Solar Power Plant",Solar,Operational,16,,Thailand,"Bangchak Solar Energy Company"," Ltd.",,,," ",Thailand,Chaiyaphum,,
59,"Bamnet Narong - BSP Solar Power Plant",Solar,Operational,22.5,,Thailand,"Siam Solar Generation Company Limited",,,," ",Thailand,Chaiyaphum,"Bamnet Narong",,
60,"Bamnet Narong power station",Coal,"Under Construction",56,2020,Thailand,"ASEAN Potash Mining Company Thailand",,,," ",Thailand,Chaiyaphum,"Bamnet Narong",,
61,"Ban Beung Power Plant",Biomass,Operational,9.9,2012,Thailand,"Advance Clean Power Co"," Ltd.",,,," ",Thailand,"Chon Buri",,
62,"Ban Chan De Hydropower Plant",Hydro,"Under Construction",18,2020,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Muang Kanchanaburi",,
63,"Ban Chat Thuy dien Ban Chat",Hydro,Operational,220,2013,Vietnam,EVN,,,Vietnam,"Infrastructure Development and Construction CorporationLICOGI",Vietnam,"Lai Chau","Than Uyen",,
64,"Ban Coc",Hydro,Operational,18,2009,Vietnam,"Que Phong Hydropower JSC",,,," ",Vietnam,"Nghe An","Que Phong",,
65,"Ban Khun Klang Dam",Hydro,Operational,0.2,1982,Thailand,"EGAT Thailand",,,," ",Thailand,"Chiang Mai","Chom Thong",,
66,"Ban Kluai Solar Power Plant",Solar,Operational,7.4,,"Thailand; Japan","Gunkul Chubu Powergen Company Limited Thailand"," Japan",,,," ",Thailand,Phetchabun,,
67,"Ban Koum",Hydro,Planned,1872,,"Thailand; Laos","Italian Thai and Asian Corp Holdings Limited Thailand",,,," ",Thailand,"Ubon Ratchathani","Khong Chiam",,
68,"Ban Krut Power Plant",Gas,Unknown,1400,,"Thailand; Japan; Hong Kong"," China","Union Power Development Co Ltd. Thailand; Tomen Co Japan; Toyota Tsusho Japan; Shubu Electric Japan; Hong Kong Electric",,,," ",Thailand,Rayong,,
69,"Ban Ra",Hydro,Operational,18,2012,Vietnam,"Dong Bac. EL JSC",,,," ",Vietnam,"Cao Bang","Trung Khanh",,
70,"Ban Santi",Hydro,Operational,1.28,1981,Thailand,"EGAT Thailand",,,," ",Thailand,Yala,"Bannang Star",,
71,"Ban Ve Thuy dien Ban Ve",Hydro,Operational,320,2010,Vietnam,"EVN Vietnam",,,Vietnam,"Song Da Construction Corp.",Vietnam,"Nghe An","Tuong Duong",,
72,"Ban Yang Dam",Hydro,Operational,0.13,1972,Thailand,"EGAT Thailand",,,," ",Thailand,"Chiang Mai","Mae Chaem",,
73,"Bang Ban Solar Power Plant",Solar,Operational,7,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya",,
74,"Bang Bo",Gas,Operational,350,2000,Thailand,"Eastern Power and Electric Company",,,," ",Thailand,"Samut Prakan","Bang Bo",,
75,"Bang Lang Dam",Hydro,Operational,76,1981,Thailand,"EGAT Thailand",,,," ",Thailand,Yala,"Bannang Star",,
76,"Bang Pakong",Gas,Operational,4384,,Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,Chachoengsao,"Bang Pakong",,
77,"Bang Pakong Power Plant",Gas,Operational,2490,1985,Thailand,"EGAT Thailand",,,," ",Thailand,Chachoengsao,"Bang Pakong",,
78,"Bang Sai Solar Power Plant",Solar,Operational,1.7,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya",,
79,"Bang Wou Power Plant",Biomass,Unknown,3,1987,Thailand,"Advance Power Conversion Co"," Ltd.",,,," ",Thailand,"Suphan Buri",,
80,"Bangchak Solar Power Plant",Solar,Operational,16,,Thailand,"Bangchak Solar Energy Company"," Ltd.",,,," ",Thailand,"Phra Nakhon Si Ayutthaya",,
81,"Bangchak Solar Power Project",Solar,Operational,44.5,2013,Thailand,"SOLARCO COMPANY LIMITED Thailand"," Yanhee EGCO Holding Thailand",ADB,ADB,," ",Thailand,"Phra Nakhon Si Ayutthaya",,
82,"Bangkok Hsfc Plant 2R",Coal,Operational,36,2000,Thailand,"Hiang Seng Fibre Container Co Thailand",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Nakhon Luang",,
83,"Bangkok Kamphaeng Saen East",Waste,Unknown,8,,Thailand,"Bangkok Greenpower Co"," Ltd.","United Kingdom","Xentolar Holdings Ltd. UK; Sindicatum Carbon Capital Ltd. UK",," ",Thailand,"Nakhon Pathom",,
84,"Bangkok Kamphaeng Saen West",Waste,Unknown,8,,Thailand,"Progress Energy Co Ltd","Thailand; United Kingdom","Zenith Green Energy Co Ltd. Thailand; Xentolar Holdings Ltd. UK; Sindicatum Carbon Capital Ltd. UK",," ",Thailand,"Nakhon Pathom","Kamphaeng Saen",,
85,"Bangna Starch Wastewater Treatment",Waste,Unknown,2.85,,Thailand,"P & Papop Renewable Co Ltd.",,,Switzerland,"South Pole Carbon Asset Management ltd.",Thailand,Kalasin,"Yang Talat",,
86,"Bangpakong Power Plant",Biomass,Unknown,10.4,1991,Thailand,"Advance Power Conversion Co"," Ltd.",,,," ",Thailand,Chachoengsao,,
87,"Bangsapan-noi Biomass Company Limited Biomass Generation",Biomass,Unknown,8,2009,Thailand,"TPC Power Holding PLC",,,," ",Thailand,"Prachuap Khiri Khan","Bang Saphan Noi",,
88,"Banteay Meanchey Solar Plant",Solar,"Under Construction",30,2022,Thailand,"Ray Power Supply Co Ltd.",,,," ",Cambodia,"Banteay Meanchey","Preah Netr Preah",,
89,"Battambang 60 MW Solar",Solar,"Under Construction",60,2020,China,"Risen Energy","Germany; EU; France","Deutsche Investitions- und Entwicklungsgesellschaft"," European Investmtn Bank"," French Development Agency",," ",Cambodia,,
90,"Bau Ngu Đien mat troi Bau Ngu",Solar,"Under Construction",50,2019,Vietnam,"Cong ty CP Đau tu xay dung va phat trien Truong Thanh Vietnam",,,," ",Vietnam,"Ninh Thuan","Thuan Nam",,
91,"Bau Zon Đien mat troi Bau Zon",Solar,"Under Construction",25,2020,Vietnam,"Cong ty Co phan Bac Phuong va Cong ty TNHH nang luong mat troi TT.Sunglim Vietnam",Vietnam,"Vietcombank Vietnam",," ",Vietnam,"Ninh Thuan","Ninh Phuoc",,
92,"Bavet City Solar PV Plant",Solar,Operational,10,2017,"Singapore; Cambodia","Sunseap Asset Cambodia Co Ltd"," majority-owned subsidiary of Sunseap Group Singapore",ADB,ADB,," ",Cambodia,"Svay Rieng",,
93,Bawgata,Hydro,Planned,160,2020,Myanmar,"Thoolei Co Myanmar",,,Myanmar,"Thoolei Myanmar",Myanmar,Bago,Taungoo,,
94,"BCG Bang Duong Nha may dien mat troi Bang Duong",Solar,Planned,40.6,2019,Vietnam,"Bamboo Capital Group BCG Tap doan Bamboo Capital and Bang Duong Construction Co Ltd. Cong ty TNHH Xay dung Bang Duong - EPC"," through BCG Bang Duong JSC",Vietnam,"Tien Phong Bank","Vietnam; Germany","TRACODI Cong Ty co phan Đau tu Phat trien Cong Nghiep va Van tai"," Syntegra Solar Germany Design consultant and supervisory consultant",Vietnam,,
95,Belin,Hydro,Planned,280,2021,Myanmar,"Ministry of Electricity & Energy",,,Myanmar,"Ministry of Electricity & Energy",Myanmar,Mon,Thaton,,
96,"Ben Tre Nexif stage 1",2," 3 nha may Đien Gio Ben Tre Nexif Energy",Wind,"Under Construction",80,2020,Singapore,"Nexif Energy Singapore",,,," ",Vietnam,,
97,"Bhumibol Dam",Hydro,Operational,779,1964,Thailand,"EGAT Thailand",,,Thailand,"Yanhee Electricity Authority",Thailand,Tak,"Sam Ngao",,
98,"BIA Co Lted.",Waste,Unknown,1.4,,Cambodia,"Soma Energy",,,,,Cambodia,Battambang,Kamrieng,,
99,"Big C roof-top solar",Solar,"Under Construction",16,2019,Japan,"Sharp Corp Japan",,,," ",Thailand,"Nakhon Ratchasima","Muang Nakhon Ratchasima",,
100,"BIM 1 Nha may dien mat troi BIM 1",Solar,Operational,30,2019,"Vietnam; Philippines","CT Nang Luong BIM Energy"," Tap Đoan BIM Group"," AC Energy subsidiary o Ayala Group Philippines","Philippines; Vietnam","Rizal Commercial Banking"," BIM Group"," AC Energy","France; Germany",,
101,"BIM 2 Nha may dien mat troi BIM 2",Solar,Operational,250,2019,"Vietnam; Philippines","CT Nang Luong BIM Energy"," Tap Đoan BIM Group"," AC Energy subsidiary o Ayala Group Philippines","Philippines; Vietnam","Rizal Commercial Banking"," BIM Group"," AC Energy",France,,
102,"BIM 3 Nha may dien mat troi BIM 3",Solar,Operational,50,2019,"Vietnam; Philippines","CT Nang Luong BIM Energy"," Tap Đoan BIM Group"," AC Energy subsidiary o Ayala Group Philippines","Philippines; Vietnam","Rizal Commercial Banking"," BIM Group"," AC Energy","France; Germany",,
103,"Binh An Nha may dien mat troi Binh An 58.88 ha - completed in 3 stages",Solar,Operational,50,2019,Vietnam,"CT TNHH Nang Luong Everich Binh Thuan",,,," ",Vietnam,"Binh Thuan","Bac Binh",,
104,"Binh Dai 1 Nha may dien gio Binh Đai giai doan 1",Wind,"Under Construction",30,2017,,"Mekong Wind Power JSC"," a TTC Affiliate Vietnam",,,," ",Vietnam,"Ben Tre",,
105,"Binh Dai 2 Nha may dien gio Binh Đai giai doan 2",Wind,Planned,280,2020,,"Mekong Wind Power JSC"," a TTC Affiliate",,,," ",Vietnam,"Ben Tre",,
106,"Binh Dien",Hydro,Operational,44,2009,Vietnam,"EVN Vietnam; Binh Dien Hydropower JSC",,,," ",Vietnam,"Thua Thien Hue","Huong Tra",,
107,"Binh Dinh Nha may nhiet dien Binh Đinh",Coal,Cancelled,1200,2016,Thailand,"Electricity Generating Authority of Thailand - EGAT International Thailand",,,," ",Vietnam,"Binh Đinh","Qui Nhon",,
108,"Binh Dinh 2 Nha may nhiet dien Binh Đinh 2",Coal,Cancelled,1200,2016,Thailand,"Electricity Generating Authority of Thailand - EGAT International Thailand",,,," ",Vietnam,"Binh Đinh","Qui Nhon",,
109,"Binh Nguyen Đien mat troi Binh Nguyen",Solar,Operational,50,2019,"Thailand; Vietnam","Tap doan Truong Thanh Viet Nam"," Vietnam"," Tap doan Sermsang Thailand",,,," ",Vietnam,,
110,"Bio-Mass Power Co"," Ltd.",Biomass,Unknown,5,,Thailand,"Bio-Mass Power Co"," Ltd.",,,," ",Thailand,,
111,"Biogas from Ethanol Wastewater",Waste,Unknown,1.24,2013,Thailand,"Bio Natural Energy Co"," Ltd.",,,Japan,"EX Corporation",Thailand,"Si Sa Ket",,
112,"Biogas from Wastewarer Management by Palm Power Green Co Ltd.",Waste,Unknown,3.3,,Thailand,"Palm Power Green Co Ltd. AS.T. Palm Oil Co Ltd.",,,," ",Thailand,"Prachuap Khiri Khan","Bang Saphan Noi",,
113,"Biogas production from waste water of tapioca starch plant",Waste,Unknown,6.24,,Thailand,"Thai Nam Tapioca Co Ltd.",,,," ",Thailand,"Udon Thani","Muang Udon Thani",,
114,"Biomass based Power Project",Biomass,Unknown,9.8,2012,"Thailand; Germany","Evergreen Plus Co Ltd.; RWE Power Aktiengesellschaft",,,," ",Thailand,"Lop Buri","Phatthana Nikhom",,
115,"Biomass Power Project of Gia Lai Cane Sugar and Thermoelectricity Joint",,,,,,,,,,,,,,,
116,"Stock Company Nha may nhiet dien Ayun Pa",Biomass,Operational,12,2013,Vietnam,"Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company SEC"," Investment and Trade Consultancy Company Limited ITRACO","Sweden; Finland","NeCF; funded by a consortium of European agencies; led by the Nordic Environment Finance Corporation NEFCO - a PPP",," ",Vietnam,"Gia Lai",,
117,"Bionersis Project Thailand 1",Waste,Unknown,2,,Thailand,"Bionersis  Ltd.",France,"Bionersis S.A",," ",Thailand,"Nakhon Pathom","Kamphaeng Saen",,
118,"BLCP Power Ltd Rayong Banpu Gas Power Ltd",Coal,Unknown,673.25,2006,,,,,," ",Thailand,Rayong,"Muang Rayong",,
119,"Blue Dot Wind Power Project",Wind,Planned,80,,Singapore,"The Blue Circle Pte Ltd",,,,,Cambodia,Kampot,"Tuek Chhou",,
120,"Blue Fire Bio Wastewater Treatment",Waste,Unknown,3.128,,Thailand,"Blue Fire Bio Co"," Ltd.",,,Switzerland,"South Pole Carbon Asset Management Ltd.",Thailand,"Nakhon Ratchasima",,
121,"BMT Solar Farm du an trang trai dien mat troi BMT",Solar,Operational,30,2020,"South Korea","Solar Park Global"," Long Thanh Infrastructure Development and Investment Company Cong ty co phan dau tu va phat trien ha tang Long Thanh",,,," ",Vietnam,"Đak Lak",,
122,"Bo Nok Power Plant",Gas,Unknown,734,,"Thailand; USA","Gulf Power Generation Co Ltd Thailand; Gulf Electric Co Ltd. Thailand; Edison Mission Energy USA",,,," ",Thailand,"Prachuap Khiri Khan","Muang Prachuap Khiri Khan",,
123,"Bo Phloi Power Plant",Biomass,Operational,9.9,2017,Thailand,"Advance Clean Power Co"," Ltd.",,,," ",Thailand,Kanchanaburi,,
124,"Bokor Plateau",Hydro,Planned,28,,,,,,," ",Cambodia,Kampot,"Tuek Chhou",,
125,"Botum Sakor Coal Plant",Coal,Planned,700,2024,Cambodia,"Royal Group",,,China,"Sinosteel Engineering & Technology",Cambodia,"Koh Kong","Botum Sakor",,
126,Bourbon,Oil,Operational,24,,,,,,," ",Vietnam,"Long An","Can Đuoc",,
127,"BP Solar 1 Đien mat troi BP Solar 1",Solar,Operational,46,2019,,,,,," ",Vietnam,"Ninh Thuan","Ninh Phuoc",,
128,"Bu Ca Mau",Hydro,Operational,4,2009,Vietnam,"Cat Nam Trading - Services and Production Company"," Limited",,,," ",Vietnam,"Binh Phuoc",,
129,Buanlung,Hydro,Planned,30,,China,"PowerChina International China",,,," ",Myanmar,Chin,Palam,,
130,"Buasommai I biomass power plant",Biomass,Unknown,9.9,2013,"Thailand; Switzerland","Buasommai Electricity Generating Co"," Ltd."," Quality Carbon Assets AG",,,," ",Thailand,,
131,"Buasommai II biomass power plant",Biomass,Unknown,9.9,2013,"Thailand; Switzerland","Buasommai Electricity Generating Co"," Ltd."," Quality Carbon Assets AG",,,," ",Thailand,,
132,"Bukit Asam",Coal,Cancelled,200,,Indonesia,"PT Bukit Asam Indonesia",,,," ",Myanmar,Shan,Kengtung,,
133,"Buon Tuasrah",Hydro,Operational,86,2009,Vietnam,"EVN Vietnam",,,," ",Vietnam,"Đak Nong","Krong No",,
134,"Buri Ram 1 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Bureerum 1 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Buri Ram","Nong Ki",,
135,"Buri Ram 2 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Bureerum 2Company Limited Solar Power Co Ltd",,,," ",Thailand,"Buri Ram","Nong Ki",,
136,"Buri Ram 3 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Bureerum 3 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Buri Ram","Prakhon Chai",,
137,"Buriram Biomass Power Plant",Biomass,Unknown,9.9,2015,Thailand,"Buriram Energy Co"," Ltd. Subsidiary of Buriram Sugar Public Co"," Ltd.",,,," ",Thailand,,
138,"Buriram Cogeneration Plant",Biomass,Unknown,9.9,2012,Thailand,"Buriram Energy Co"," Ltd. Subsidiary of Buriram Sugar Public Co"," Ltd.",,,," ",Thailand,,
139,"Buriram Power Plus Company",Biomass,Unknown,9.9,2015,Thailand,"Buriram Power Plus Co"," Ltd.",,,," ",Thailand,"Buri Ram",,
140,"Buriram Sugar Factory",Biomass,Unknown,18.5,,Thailand,"Buriram Sugar Factory Co"," Ltd. Subsidiary of Buriram Sugar Public Co"," Ltd.",,,," ",Thailand,,
141,"Buon Kuop",Hydro,Operational,280,2011,Vietnam,"EVN Vietnam",,,Vietnam,Vinanico,Vietnam,"Đak Nong","Krong No",,
142,"C on Top PV Solar Farm Project",Solar,Operational,12,,Thailand,"C on Top Co"," Ltd.",,,," ",Thailand,"Chon Buri",,
143,"Ca Du",Hydro,Operational,2.6,2005,Vietnam,"Ca Du Hydro Power Constructing JSC",,,," ",Vietnam,"Quang Ngai","Tra Bong",,
144,"Ca Mau Nha may dien mat troi Ca Mau 63 ha",Solar,Operational,50,2019,Vietnam,"Cty Long Hung Vietnam",,,," ",Vietnam,"Ca Mau","Ngoc Hien",,
145,"Ca Mau 1",Gas,Operational,750,2008,Vietnam,"Ca Mau Petrovietnam Power Company",,,Vietnam,"Lilama Vietnam",Vietnam,"Ca Mau","U Minh",,
146,"Ca Mau 2",Gas,Operational,750,2008,Vietnam,"Ca Mau Petrovietnam Power Company",,,Vietnam,"Lilama Vietnam",Vietnam,"Ca Mau","U Minh",,
147,"Ca Na LNG",Gas,Planned,6000,2025,Thailand,"Gulf Energy Development Group",,,,,Vietnam,"Ninh Thuan","Thuan Nam",,
148,"Cai Lan",Oil,Operational,39,,,,,,," ",Vietnam,"Quang Ninh","Ha Long",,
